param, dir, bench, fail,problemSize,initialZ3CoreSize,minimalCoreSize,numIterations,numRotationCalls,numClausesMarkedByRotation,numTheoryConflictResolves,numTheoryChecks,totalTheoryCheckTime,z3InitialCheckTime,noAssumptionsCheckTime,totalTime,totalTimeNoInitialCheck
P: -rotate -file,C:\temp\smtmuc\benchmarks\QF_LRA,tgc_io-safe-14.smt,,3615,1398,975,883,975,262,56,1864,1.508,0.123,0.04,6.998,6.875
P: -rotate -rotatet 5 -file,C:\temp\smtmuc\benchmarks\QF_LIA,FISCHER7-4-fair.smt,,2395,749,489,252,354,273,0,284,0.218,0.028,0.024,0.692,0.664
P: -rotate -file,C:\temp\smtmuc\benchmarks\QF_LRA,tgc_io-safe-6.smt,,1551,321,245,135,245,147,20,266,0.088,0.018,0.009,0.294,0.276
P: -rotate -rotatet 7 -file,C:\temp\smtmuc\benchmarks\QF_LRA,sc-14.base.cvc.smt,,2617,1171,884,761,418,234,34,1017,1.8,1.392,1.053,24.284,22.892
P: -rotate -boundRot -file,C:\temp\smtmuc\benchmarks\QF_RDL,fischer3-mutex-7.smt,,2321,872,493,368,416,195,9,333,0.201,0.08,0.02,1.234,1.154
P: -rotate -boundRot -file,C:\temp\smtmuc\benchmarks\QF_IDL,FISCHER7-3-ninc.smt,,1768,194,169,48,169,132,0,132,0.023,0.014,0.014,0.095,0.081
P: -rotate -rotatet 5 -file,C:\temp\smtmuc\benchmarks\QF_UF,SEQ018_size7.smt,,1132,284,97,116,25,9,9,250,0.116,0.109,0.065,0.472,0.363
P: -rotate -rotatet 5 -file,C:\temp\smtmuc\benchmarks\QF_RDL,fischer3-mutex-8.smt,,2647,1197,671,709,140,105,10,163,0.148,0.14,0.027,2.059,1.919
P: -rotate -rotatet 7 -file,C:\temp\smtmuc\benchmarks\QF_LIA,FISCHER5-2-fair.smt,,910,151,134,25,133,112,0,119,0.026,0.008,0.01,0.072,0.064
P: -rotate -boundRot -file,C:\temp\smtmuc\benchmarks\QF_RDL,fischer3-mutex-15.smt,,4929,3130,1725,2497,1,0,0,4,0.024,3.219,0.321,246.153,242.934
P: -file,C:\temp\smtmuc\benchmarks\QF_LRA,clocksynchro_8clocks.main_invar.base.smt,,1529,163,163,163,0,0,0,0,0,0.057,0.032,0.791,0.734
