param, dir, bench,problemSize,initialZ3CoreSize,minimalCoreSize,numIterations,numRotationCalls,numClausesMarkedByRotation,numTheoryConflictResolves,numTheoryChecks,totalTheoryCheckTime,z3InitialCheckTime,noAssumptionsCheckTime,totalTime,totalTimeNoInitialCheck
P: -smt2 -file,C:\Users\annat\Documents\SMT_MUC\ZhangBenchmarks,windowreal-safe-2.smt2,715,47,46,47,0,0,0,0,0,0.01,0.009,0.054,0.044
P: -smt2 -file,C:\Users\annat\Documents\SMT_MUC\ZhangBenchmarks,sc_init_frame_gap.base.smt2,591,4,3,4,0,0,0,0,0,0.009,0.013,0.073,0.064
P: -smt2 -file,C:\Users\annat\Documents\SMT_MUC\ZhangBenchmarks,lpsat-goal-2.smt2,3884,57,57,57,0,0,0,0,0,0.047,0.097,0.106,0.059
P: -smt2 -file,C:\Users\annat\Documents\SMT_MUC\ZhangBenchmarks,lpsat-goal-1.smt2,1962,5,5,5,0,0,0,0,0,0.027,0.006,0.075,0.048
P: -smt2 -file,C:\Users\annat\Documents\SMT_MUC\ZhangBenchmarks,bad_echos_ascend.base.smt2,576,8,7,8,0,0,0,0,0,0.009,0.009,0.026,0.017
P: -smt2 -rotate -rotatet 5 -file,C:\Users\annat\Documents\SMT_MUC\ZhangBenchmarks,windowreal-no_t_deadlock-17.smt2,6153,253,207,22,207,187,2,195,0.107,0.109,0.026,0.312,0.203
P: -smt2 -file,C:\Users\annat\Documents\SMT_MUC\ZhangBenchmarks,windowreal-no_t_deadlock-19.smt2,6883,423,231,237,0,0,0,0,0,0.113,0.029,0.436,0.323
P: -smt2 -rotate -rotatet 5 -file,C:\Users\annat\Documents\SMT_MUC\ZhangBenchmarks,windowreal-no_t_deadlock-20.smt2,7248,344,243,168,96,77,11,131,0.066,0.126,0.041,0.413,0.287
P: -smt2 -rotate -rotatet 5 -file,C:\Users\annat\Documents\SMT_MUC\ZhangBenchmarks,lpsat-goal-1.smt2,1962,5,5,2,5,3,1,8,0.001,0.023,0.006,0.047,0.024
P: -smt2 -rotate -rotatet 5 -file,C:\Users\annat\Documents\SMT_MUC\ZhangBenchmarks,good_frame_update.base.smt2,1106,56,45,14,45,33,11,111,0.024,0.026,0.013,0.096,0.07
P: -smt2 -rotate -rotatet 5 -file,C:\Users\annat\Documents\SMT_MUC\ZhangBenchmarks,windowreal-no_t_deadlock-18.smt2,6518,287,219,29,219,192,6,198,0.111,0.126,0.031,0.352,0.226
