param, dir, bench, fail,isHL,problemSize,initialZ3CoreSize,smallCoreSize,z3AssumtionsInitialSolveTime,totalTime,numLemmasExtracted,propositionalExtractionTime,isUnsat,isMinimal
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_LRA,uart-36.base.cvc.smt,1,,,,,,,,,,
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_UF,NEQ006_size5.smt,1,,,,,,,,,,
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_UF,SEQ019_size5.smt,,0,510,92,82,30,638,1303,537,1,0
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_LIA,FISCHER3-5-fair.smt,,0,1248,488,364,28,313,1202,132,1,0
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_LIA,FISCHER9-13-fair.smt,1,,,,,,,,,,
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_RDL,fischer9-mutex-2.smt,,0,2449,332,332,52,223,716,73,1,1
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_IDL,FISCHER13-5-ninc.smt,,0,5542,1008,451,141,700,2037,293,1,1
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_LIA,FISCHER7-2-fair.smt,,0,1289,198,190,19,236,404,39,1,0
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_LIA,ParallelPrefixSum_safe_bgmc004.smt,,0,8828,90,90,194,358,166,53,1,1
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_UF,NEQ027_size9.smt,1,,,,,,,,,,
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_LRA,windowreal-no_t_deadlock-11.smt,,0,3963,274,135,85,265,683,74,1,1
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_LRA,uart-30.base.cvc.smt,1,,,,,,,,,,
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_LIA,ckt_PROP3_tf_25.smt,,0,4696,673,528,165,1233,3059,747,1,0
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_RDL,fischer9-mutex-7.smt,,0,8369,3054,2200,1103,8242,10235,6015,1,0
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_IDL,plan-43.cvc.smt,,0,15063,5725,2221,3817,13250,14409,7663,1,0
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_UF,SEQ005_size8.smt,1,,,,,,,,,,
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_UF,PEQ018_size6.smt,1,,,,,,,,,,
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_UF,NEQ015_size3.smt,,0,2028,40,38,53,146,520,43,1,0
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_UF,PEQ014_size8.smt,,0,1578,51,38,8326,321155,101108,311031,1,0
P: @exp6 -file,C:\temp\smtmuc\benchmarks\QF_LIA,FISCHER7-5-fair.smt,,0,2948,1090,765,81,861,2637,467,1,0
